,Neuron,-2000 to -1975,-1950 to -1925,-1900 to -1875,-1850 to -1825,-1800 to -1775,-1750 to -1725,-1700 to -1675,-1650 to -1625,-1600 to -1575,-1550 to -1525,-1500 to -1475,-1450 to -1425,-1400 to -1375,-1350 to -1325,-1300 to -1275,-1250 to -1225,-1200 to -1175,-1150 to -1125,-1100 to -1075,-1050 to -1025,-1000 to -975,-950 to -925,-900 to -875,-850 to -825,-800 to -775,-750 to -725,-700 to -675,-650 to -625,-600 to -575,-550 to -525,-500 to -475,-450 to -425,-400 to -375,-350 to -325,-300 to -275,-250 to -225,-200 to -175,-150 to -125,-100 to -75,-50 to -25,0 to 25,50 to 75,100 to 125,150 to 175,200 to 225,250 to 275,300 to 325,350 to 375,400 to 425,450 to 475,500 to 525,550 to 575,600 to 625,650 to 675,700 to 725,750 to 775,800 to 825,850 to 875,900 to 925,950 to 975,1000 to 1025,1050 to 1075,1100 to 1125,1150 to 1175,1200 to 1225,1250 to 1275,1300 to 1325,1350 to 1375,1400 to 1425,1450 to 1475,1500 to 1525,1550 to 1575,1600 to 1625,1650 to 1675,1700 to 1725,1750 to 1775,1800 to 1825,1850 to 1875,1900 to 1925,1950 to 1975
0,Ensemble of 137 Neurons,0.32135294117647056,0.4202352941176471,0.42,0.3206470588235294,0.32623529411764707,0.3434117647058823,0.37623529411764706,0.3977647058823529,0.39005882352941174,0.36447058823529416,0.33894117647058825,0.35847058823529415,0.4114117647058823,0.3112941176470588,0.31435294117647056,0.39682352941176474,0.3446470588235294,0.3257647058823529,0.3578235294117647,0.39582352941176463,0.3351176470588235,0.33788235294117647,0.38541176470588234,0.32194117647058823,0.41041176470588236,0.33988235294117647,0.3917058823529411,0.37652941176470583,0.33258823529411763,0.37047058823529416,0.4185882352941177,0.41429411764705876,0.4368235294117647,0.4145882352941177,0.3739411764705882,0.41629411764705876,0.46029411764705885,0.3984117647058823,0.4100588235294117,0.5060588235294118,0.4336470588235294,0.496764705882353,0.6686470588235293,0.569,0.5799411764705882,0.6769411764705882,0.7156470588235293,0.6549411764705881,0.5385294117647058,0.6394117647058823,0.607470588235294,0.6645294117647058,0.6546470588235292,0.6927647058823528,0.6468823529411765,0.5135882352941176,0.7090588235294117,0.5472941176470588,0.6425882352941177,0.5760588235294117,0.5260588235294117,0.6542941176470588,0.5539411764705883,0.4868823529411765,0.6008235294117646,0.5308235294117647,0.47329411764705887,0.5172352941176471,0.533235294117647,0.5331176470588235,0.4426470588235294,0.4698823529411765,0.46147058823529413,0.5441176470588236,0.46317647058823536,0.4985294117647059,0.4951764705882353,0.4443529411764706,0.42911764705882355,0.4761764705882353
1,,0.30537647058823525,0.3910352941176469,0.39231764705882344,0.293835294117647,0.3077294117647059,0.3142235294117647,0.3590470588235293,0.36475294117647056,0.35921176470588223,0.34705882352941164,0.31120000000000003,0.33361176470588233,0.3803882352941176,0.28744705882352933,0.29243529411764696,0.37187058823529406,0.3097411764705883,0.30044705882352946,0.3361882352941177,0.37405882352941167,0.31243529411764714,0.30519999999999986,0.3604470588235293,0.2983176470588235,0.3851529411764706,0.31612941176470594,0.3628,0.3292941176470588,0.30385882352941185,0.3315882352941177,0.397870588235294,0.38554117647058805,0.41736470588235297,0.3828470588235293,0.3474470588235294,0.3924352941176468,0.43170588235294116,0.3728235294117647,0.38464705882352923,0.4743882352941175,0.39450588235294104,0.4636352941176469,0.6559647058823532,0.5361764705882355,0.5582588235294119,0.6616235294117652,0.6940588235294121,0.6275058823529416,0.5150117647058825,0.6282352941176473,0.5769176470588238,0.6382588235294122,0.6276705882352944,0.6600000000000005,0.6161294117647063,0.4831294117647058,0.6849294117647062,0.5251529411764707,0.6173647058823531,0.5473882352941177,0.5112588235294119,0.6331647058823533,0.5152823529411764,0.45663529411764703,0.5842,0.5071647058823529,0.44492941176470574,0.48235294117647043,0.5088470588235294,0.5048117647058826,0.4147294117647057,0.4496352941176471,0.4363529411764705,0.5077294117647058,0.43641176470588233,0.46963529411764693,0.47803529411764695,0.4202235294117646,0.40632941176470566,0.4547882352941175
2,,0.3374235294117647,0.451376470588235,0.441964705882353,0.3456588235294117,0.3567058823529411,0.37642352941176455,0.40252941176470586,0.42196470588235296,0.4214588235294116,0.38330588235294105,0.3638117647058823,0.3864470588235293,0.43630588235294104,0.3291882352941177,0.3351294117647059,0.41602352941176457,0.3733411764705882,0.34638823529411766,0.3859411764705881,0.42425882352941174,0.3663882352941176,0.37776470588235284,0.40778823529411756,0.35255294117647057,0.44370588235294134,0.3538941176470588,0.4196117647058823,0.39882352941176463,0.36358823529411755,0.3950705882352939,0.45216470588235286,0.4391647058823529,0.4593294117647059,0.433,0.4007294117647056,0.4512705882352938,0.486164705882353,0.4281882352941175,0.44011764705882345,0.5254352941176471,0.4541764705882352,0.5202823529411764,0.6821294117647063,0.5907058823529414,0.609082352941177,0.6915411764705888,0.7353529411764708,0.6882941176470591,0.5629176470588234,0.6560823529411769,0.6240352941176476,0.6805058823529415,0.6828588235294121,0.7177058823529415,0.6796117647058828,0.5350705882352941,0.733058823529412,0.5727764705882357,0.6772588235294121,0.5986000000000004,0.5468941176470589,0.6871176470588238,0.5781529411764709,0.5099176470588234,0.6158000000000003,0.5527764705882356,0.4981529411764702,0.5553529411764707,0.550364705882353,0.5548470588235296,0.47109411764705883,0.49014117647058825,0.5009647058823529,0.5782705882352944,0.48168235294117645,0.5224117647058824,0.5141176470588237,0.46425882352941156,0.44874117647058814,0.5071176470588237
