mouse,sex,date,probe,protocol,UnitID,firing_rate,snr,Flag_SingleUnit,isi_violations_ratio,isi_violations_rate,isi_violations_count,position,slope,Tr.2 Peak (ms),Peak2 Tr. ratio,name Wav,wilc_Cold_,resp_binCold_,sign_binCold_,sign_Cold_,latCold_,resp_Cold_,DV_exact,wilc_Hot_,resp_binHot_,sign_binHot_,sign_Hot_,latHot_,resp_Hot_,wilc_Room_,resp_binRoom_,sign_binRoom_,latRoom_,resp_Room_,sign_Room_,Neuron,Overall SVM Score,95% shuffle,flag_Temp,Anova,T3_0,T3_1,T3_2
CB279,M,121421,tetrodes,temp,15,13.68011084,3.974732143,True,0.031886678,0.017902338,46,none,-23.08928571,0.15,-0.794117647,waveforms_15.npy,"[4.236657365695904e-05, 4.276317877216578e-05, 4.76837158203125e-07, 4.76837158203125e-07]","[1, 1, 1, 1]","[1, 1, 1, 1]",1,65.0,1,,"[6.79125591720486e-06, 7.450580596923828e-08, 2.2351741790771484e-08, 7.450580596923828e-09]","[1, 1, 1, 1]","[1, 1, 1, 1]",1,112.0,1,"[3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09]","[1, 1, 1, 1]","[1, 1, 1, -1]",67.0,1,1,3.0,0.617037037,0.417037037,True,0.0,0.6776859504132231,1.0,0.7021943573667712
CB279,M,121421,tetrodes,temp,18,6.762024575,7.981583333,True,0.218457979,0.029966958,77,none,-2.525611326,0.775,-0.203658537,waveforms_18.npy,"[8.974776438953829e-05, 4.855192866507519e-05, 4.261411450953541e-05, 6.010036434603914e-05]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,185.0,1,,"[7.526995492010609e-06, 1.723550255553889e-05, 1.4234836198139897e-05, 1.8849968910217285e-06]","[1, 1, 1, 1]","[-1, -1, -1, 1]",-1,81.0,1,"[0.0003703643184683312, 0.00028640468158380126, 0.00021308008105731696, 0.0002608003765913641]","[1, 1, 1, 1]","[1, -1, -1, -1]",0.0,1,1,4.0,0.360740741,0.446148148,False,1.0,0.0,0.0,0.0
CB279,M,121421,tetrodes,temp,47,18.47715918,11.97748485,True,0.007599592,0.007783625,20,none,-4.782090003,0.225,-0.368600683,waveforms_47.npy,"[4.76837158203125e-07, 4.76837158203125e-07, 4.76837158203125e-07, 4.76837158203125e-07]","[1, 1, 1, 1]","[1, 1, 1, -1]",1,61.0,1,,"[7.450580596923828e-09, 7.450580596923828e-09, 7.450580596923828e-09, 7.450580596923828e-09]","[1, 1, 1, 1]","[1, 1, 1, -1]",1,51.0,1,"[3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09]","[1, 1, 1, 1]","[1, 1, 1, 1]",66.0,1,1,5.0,0.437037037,0.421814815,True,1.0,1.0,0.935,0.9444827586206896
CB279,M,121421,tetrodes,temp,53,5.387825509,16.5578871,True,0.031282516,0.002724269,7,none,-5.499388846,0.8,-0.216906946,waveforms_53.npy,"[0.0042437066457369065, 0.015788236083652082, 0.004228400898489585, 0.01213148735201052]",[],"[0, 0, 0, 0]",0,,0,,"[0.00022622345764764274, 0.005819983787122637, 0.2620506183178668, 0.9181229611228185]","[1, 0, 0, 0]",[-1],-1,71.0,1,"[8.599550538896213e-05, 0.09053062782624592, 0.07080947685241791, 0.09048318567373766]","[1, 0, 0, 0]",[-1],48.0,1,-1,6.0,0.625925926,0.429259259,True,1.0,0.03535353535353535,1.0,0.6436781609195402
CB279,M,121421,tetrodes,temp,55,24.81380863,3.892828571,True,0.024229344,0.044755846,115,none,-3.658385093,0.6,-0.339449541,waveforms_55.npy,"[4.860775122985171e-05, 4.76837158203125e-07, 4.76837158203125e-07, 4.76837158203125e-07]","[1, 1, 1, 1]","[1, -1, -1, -1]",1,35.0,1,,"[4.930031777989456e-06, 2.2351741790771484e-08, 7.450580596923828e-09, 7.450580596923828e-09]","[1, 1, 1, 1]","[1, 1, 1, 1]",1,34.0,1,"[1.862645149230957e-08, 4.697619852183978e-06, 3.725290298461914e-09, 3.725290298461914e-09]","[1, 1, 1, 1]","[1, 1, -1, -1]",82.0,1,1,7.0,0.595555556,0.433481481,True,1.0,0.4675324675324675,1.0,0.729064039408867
CB279,M,121421,tetrodes,temp,68,3.739253647,10.44511429,True,0.296900414,0.012453801,32,none,-5.398046398,0.95,-0.259678942,waveforms_68.npy,"[0.25514213152864984, 0.0003046989440917969, 0.4060330390930176, 0.1760712209605324]","[0, 1, 0, 0]",[1],1,87.0,1,,"[0.9635682786179378, 3.654190063075453e-05, 0.42469963838515234, 0.00015273690223693848]","[0, 1, 0, 1]","[1, 1]",1,103.0,1,"[0.10430050767114893, 0.00123018031733626, 0.5434515464854656, 4.4088927023598275e-05]","[0, 1, 0, 1]","[1, 1]",118.0,1,1,8.0,0.473333333,0.435740741,True,1.0,1.0,0.8648947951273533,0.9291633253140873
CB279,M,122021,tetrodes,temp,18,0.470610468,19.88612069,True,0.0,0.0,0,none,-6.296975806,0.7,-0.201973302,waveforms_18.npy,"[0.19639715219619236, 0.48229696737384264, 0.48229696737384264, 0.32310126188640875]",[],"[0, 0, 0, 0]",0,,0,,"[0.5197986429681976, 0.19939735631935218, 0.30734697185235726, 0.30734697185235726]",[],"[0, 0, 0, 0]",0,,0,"[0.02063086637210386, 0.020545251435218348, 0.03902903802568822, 0.046955206045341744]",[],"[0, 0, 0, 0]",,0,0,,,,,,0.0,0.0,0.0
CB279,M,122021,tetrodes,temp,19,0.814360723,13.14112069,True,0.20568795,0.000409226,1,none,-3.624249166,0.625,-0.174825175,waveforms_19.npy,"[0.06926955341061611, 0.037341876786929885, 0.37901383538383393, 0.1936113165896981]",[],"[0, 0, 0, 0]",0,,0,,"[0.06472935360173158, 0.5042519161613199, 0.6546783834412537, 0.3793484125766725]",[],"[0, 0, 0, 0]",0,,0,"[0.02155300933577239, 0.011162883042661774, 0.27878411355317445, 0.062221938529458114]",[],"[0, 0, 0, 0]",,0,0,,,,,,0.0,0.0,0.0
CB279,M,122021,tetrodes,temp,26,2.59367752,7.5544,True,0.101386595,0.002046132,5,none,-4.896825397,0.375,-0.445422535,waveforms_26.npy,"[1.1928379535675049e-05, 7.078051567077637e-08, 7.450580596923828e-09, 7.450580596923828e-09]","[1, 1, 1, 1]","[1, 1, -1, -1]",1,29.0,1,,"[1.043081283569336e-07, 1.043081283569336e-07, 3.725290298461914e-08, 3.931826562616155e-06]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,104.0,1,"[2.604234614273661e-06, 7.450580596923828e-09, 3.725290298461914e-09, 3.725290298461914e-09]","[1, 1, 1, 1]","[1, -1, -1, -1]",22.0,1,1,2.0,0.55862069,0.409655172,True,1.0,1.0,0.8877551020408163,0.06493506493506493
CB279,M,122021,tetrodes,temp,27,1.301340252,26.20914286,True,0.0,0.0,0,none,-9.37055336,0.575,-0.235294118,waveforms_27.npy,"[0.9904066407238225, 0.9904066407238225, 0.7236736098317631, 0.5260800986037452]",[],"[0, 0, 0, 0]",0,,0,,"[0.980305649443565, 0.1925643909479844, 0.4008085149794246, 0.361649622855879]",[],"[0, 0, 0, 0]",0,,0,"[1.0, 1.0, 0.49310392444974116, 1.0]",[],"[0, 0, 0, 0]",,0,0,,,,,,0.0,0.0,0.0
