Unnamed: 0,mouse,sex,date,probe,protocol,UnitID,firing_rate,snr,Flag_SingleUnit,isi_violations_ratio,isi_violations_rate,isi_violations_count,position,slope,Tr.2 Peak (ms),Peak2 Tr. ratio,name Wav,DV_exact,wilc_WaterCold,resp_binWaterCold,sign_binWaterCold,sign_WaterCold,latWaterCold,resp_WaterCold,wilc_WaterHot,resp_binWaterHot,sign_binWaterHot,sign_WaterHot,latWaterHot,resp_WaterHot,wilc_SalivaCold,resp_binSalivaCold,sign_binSalivaCold,sign_SalivaCold,latSalivaCold,resp_SalivaCold,wilc_SalivaHot,resp_binSalivaHot,sign_binSalivaHot,sign_SalivaHot,latSalivaHot,resp_SalivaHot,95% shuffle,SVM_W,SVM_AS
16,CB345,F,32123,tetrodes,water_and_saliva,72,1.896472448,13.94281196,True,0.0,0.0,0,none,-4.744959677,0.9,-0.229255774,waveforms_72.npy,,"[0.14735898872445619, 0.14735898872445619, 0.14735898872445619, 0.14735898872445619]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.45818539267141567, 0.45818539267141567, 0.45818539267141567, 0.6972485336323417]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.26727139991161397, 0.2672343136360972, 0.2672343136360972, 0.2672343136360972]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.691542997962931, 0.4503461414929122, 0.4503461414929122, 0.4503461414929122]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
17,CB345,F,32123,tetrodes,water_and_saliva,73,3.207561397,9.703302534,True,0.076536388,0.002362322,5,none,-6.316521739,0.15,-0.430082256,waveforms_73.npy,,"[0.05837857020435244, 0.05088086521084078, 0.21174224003052, 0.023711862158762267]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.0009313325607994991, 0.004988951083699721, 0.001769412929727682, 0.0016231534967054003]","[1, 0, 1, 1]","[-1, -1, -1]",-1.0,67.0,1.0,"[0.0011085621280863512, 0.21912884564344193, 0.008239266092736229, 0.0010774701959235388]","[1, 0, 0, 1]","[-1, -1]",-1.0,64.0,1.0,"[0.0269221447701386, 0.025696819226769377, 0.00981770002647, 0.040887408135633484]",[],"[0, 0, 0, 0]",0.0,,0.0,0.5720000000000001,0.536,0.6973333333333335
18,CB345,F,32123,tetrodes,water_and_saliva,74,12.69181349,9.995100522,True,0.043018298,0.020788437,44,none,-5.310837438,0.85,-0.340723454,waveforms_74.npy,,"[0.07062947784327551, 0.15930500679335413, 0.060412495668441216, 0.5250680922844517]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.0011493792108646338, 0.0008044742251570974, 0.004288809389783099, 0.19921116553556495]","[1, 1, 0, 0]","[-1, -1]",-1.0,7.0,1.0,"[0.0024868133232198593, 0.0001454643558833096, 0.0002306986709939448, 0.00031995007173627344]","[1, 1, 1, 1]","[1, -1, -1, 1]",1.0,89.0,1.0,"[0.016234137340049328, 0.011253893050231846, 0.06413072898031964, 0.11110934658044914]",[],"[0, 0, 0, 0]",0.0,,0.0,0.6053999999999999,0.49200000000000005,0.5693333333333334
19,CB345,F,32123,tetrodes,water_and_saliva,77,4.401951619,13.40415713,True,0.016255015,0.000944929,2,none,-5.058594347,0.775,-0.247572816,waveforms_77.npy,,"[8.45306609201019e-05, 9.5367431640625e-06, 8.494972571613464e-05, 9.5367431640625e-07]","[1, 1, 1, 1]","[1, 1, 1, -1]",1.0,197.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,50.0,1.0,"[4.76837158203125e-07, 4.76837158203125e-07, 4.76837158203125e-07, 4.76837158203125e-07]","[1, 1, 1, 1]","[-1, 1, -1, -1]",-1.0,27.0,1.0,"[3.698950720410869e-05, 1.1920928955078125e-06, 1.1920928955078125e-06, 1.1920928955078125e-06]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,12.0,1.0,0.6138666666666666,0.9373333333333332,0.8413333333333333
20,CB345,F,32123,tetrodes,water_and_saliva,78,0.632157483,10.97765749,True,0.0,0.0,0,none,-5.774220033,0.775,-0.283236994,waveforms_78.npy,,"[0.6830913983096087, 0.7349113924196855, 0.00862437071701962, 0.000341889101529961]","[0, 0, 0, 1]",[1],1.0,538.0,1.0,"[0.5878733107630292, 0.0004041231509893346, 0.0006182571526354431, 0.08172275229865932]","[0, 1, 1, 0]","[1, 1]",1.0,356.0,1.0,"[0.6854489787443911, 0.5287106238073973, 0.006222802671247742, 0.0055713206059706194]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.2792600880719097, 0.007579641861138926, 0.22152075444795571, 0.35171472476323173]",[],"[0, 0, 0, 0]",0.0,,0.0,0.6068666666666667,0.7799999999999998,0.7093333333333334
21,CB345,F,32123,tetrodes,water_and_saliva,79,5.685165163,5.465320521,True,0.004872611,0.000472464,1,none,-4.451470588,0.25,-0.336206897,waveforms_79.npy,,"[9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07]","[1, 1, 1, 1]","[1, 1, -1, -1]",1.0,0.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,37.0,1.0,"[4.76837158203125e-07, 4.76837158203125e-07, 4.76837158203125e-07, 4.76837158203125e-07]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,39.0,1.0,"[2.384185791015625e-07, 2.384185791015625e-07, 2.384185791015625e-07, 2.384185791015625e-07]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,14.0,1.0,0.5414666666666668,0.5226666666666666,0.5720000000000001
0,CB346,F,32123,tetrodes,water_and_saliva,26,3.548508544,5.198570275,True,0.012322731,0.0004655,1,none,-1.0,2.15,-0.022900763,waveforms_26.npy,,"[4.4226646423339844e-05, 9.207136898257512e-05, 0.11485375224474496, 0.001886005025267839]","[1, 1, 0, 1]","[1, -1, 1]",1.0,53.0,1.0,"[0.014726053526981215, 0.017240648208259726, 0.04934657726746352, 0.22209756607929154]",[],"[0, 0, 0, 0]",0.0,,0.0,"[3.771007172342529e-05, 2.0098617222617535e-05, 0.0008419063137961822, 0.004461343938761436]","[1, 1, 1, 0]","[-1, -1, 1]",-1.0,142.0,1.0,"[0.004556337510535746, 0.001456031817854161, 0.008654030375220627, 0.030336595448001373]","[0, 1, 0, 0]",[1],1.0,446.0,1.0,0.6226875000000001,0.7675,0.5125
1,CB346,F,32123,tetrodes,water_and_saliva,40,0.760161938,10.84197355,True,0.0,0.0,0,none,-1.794208494,0.85,-0.188356164,waveforms_40.npy,,"[0.45821338747584006, 1.0, 0.7003113729368902, 0.7003113729368902]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.29433961515439033, 0.3158619149986901, 0.6223589353180703, 0.46077447947293804]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.20784937078101506, 0.05207152164274504, 0.16363897253911186, 0.330074312720828]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.6704260370240777, 0.6704439470041068, 0.8931547585649351, 0.6704439470041068]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
2,CB346,F,32123,tetrodes,water_and_saliva,41,0.968706058,8.651155198,True,0.165353979,0.0004655,1,none,-1.964285714,0.875,-0.226012793,waveforms_41.npy,,"[0.28934094414750866, 0.2694823590283614, 0.35635080274424324, 0.1873906296495973]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.03423473259031034, 0.01630373608046897, 0.0992347842116817, 0.015044844865696483]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.10553120856870239, 0.05794150257627178, 0.451573993519955, 0.24991329708778887]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.1081052566518405, 0.12482926850305756, 0.16823713937279205, 0.21317027689599255]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
0,CB347,M,32123,tetrodes,water_and_saliva,3,1.721322954,21.46842501,True,0.0,0.0,0,none,-9.414744079,0.7,-0.25394793,waveforms_3.npy,,"[0.0018663379242011002, 0.001028082776144963, 0.0010409186555076333, 0.0018645915930046045]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,117.0,1.0,"[0.002496623289634293, 0.004080522169761977, 0.004483567267179932, 0.0031537651935557177]","[1, 0, 0, 0]",[-1],-1.0,53.0,1.0,"[0.15668377767106476, 0.09285430682696381, 0.09287483458894309, 0.16618013852668723]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.0007088182540795088, 0.00014721936709655945, 0.00014548081990751728, 0.00026780979255469324]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,132.0,1.0,0.5333333333333333,0.5333333333333333,0.64875
