mouse,sex,date,probe,protocol,UnitID,firing_rate,snr,Flag_SingleUnit,isi_violations_ratio,isi_violations_rate,isi_violations_count,position,slope,Tr.2 Peak (ms),Peak2 Tr. ratio,name Wav,DV_exact,wilc_CitricAcid,resp_binCitricAcid,sign_binCitricAcid,sign_CitricAcid,latCitricAcid,resp_CitricAcid,wilc_NaCl,resp_binNaCl,sign_binNaCl,sign_NaCl,latNaCl,resp_NaCl,wilc_Quinine,resp_binQuinine,sign_binQuinine,sign_Quinine,latQuinine,resp_Quinine,wilc_Sucrose,resp_binSucrose,sign_binSucrose,sign_Sucrose,latSucrose,resp_Sucrose,wilc_Cold,resp_binCold,sign_binCold,sign_Cold,latCold,resp_Cold,wilc_Hot,resp_binHot,sign_binHot,sign_Hot,latHot,resp_Hot,95% shuffle,flag_Taste,SVM_Taste,SVM_Taste_95%_shuffle,flag_Temp,SVM_Temp,SVM_Temp_95%_shuffle,AnovaTasteRoom,SI,PI,AnovaTemp
CB340,M,30623,tetrodes,taste_room_and_temp,55,0.906154938,7.681030538,TRUE,0.667612846,0.001644564,3,none,-2.142137097,0.775,-0.225746269,waveforms_55.npy,,"[0.0441713449084426, 0.044065400736826854, 0.02168957355906645, 0.03937223236623302]",[],"[0, 0, 0, 0]",0,,0,"[0.6093947909288484, 0.3200384755260307, 0.3200384755260307, 0.3200384755260307]",[],"[0, 0, 0, 0]",0,,0,"[0.314038932973563, 0.314038932973563, 0.16347891095622624, 0.16347891095622624]",[],"[0, 0, 0, 0]",0,,0,"[0.31429216214942934, 0.16370597983289548, 0.31429216214942934, 0.16370597983289548]",[],"[0, 0, 0, 0]",0,,0,"[0.2452527593669107, 0.1345255075435559, 0.1345255075435559, 0.2716310585408205]",[],"[0, 0, 0, 0]",0,,0,"[0.6647225576446822, 0.41512339115542807, 0.41512339115542807, 0.9318684346874017]",[],"[0, 0, 0, 0]",0,,0,,,,,,,,,,,
CB340,M,30623,tetrodes,taste_room_and_temp,56,1.132008438,21.65893629,TRUE,0,0,0,none,-6.399110122,0.9,-0.188436831,waveforms_56.npy,,"[0.007290358091535638, 0.012222679338725985, 0.007348979582922342, 0.012527842133594475]",[],"[0, 0, 0, 0]",0,,0,"[0.0073196381443486605, 0.007202886624972522, 0.004969083668217332, 0.006451210909286358]",[],"[0, 0, 0, 0]",0,,0,"[0.014001738579072978, 0.014145444224306167, 0.004861991788476002, 0.0073196381443486605]",[],"[0, 0, 0, 0]",0,,0,"[0.022967332964787552, 0.012179368413296589, 0.012266061386212971, 0.020418612859613723]",[],"[0, 0, 0, 0]",0,,0,"[0.002880546274547739, 0.0004019726384350166, 0.0005791470520444348, 0.0012060424771280613]","[0, 1, 1, 1]","[-1, -1, -1]",-1,304,1,"[0.10895891398387886, 0.010398452516707105, 0.1767782512959407, 0.05660946033624543]",[],"[0, 0, 0, 0]",0,,0,,,,,FALSE,0.490769231,0.563230769,,,,1
CB340,M,30623,tetrodes,taste_room_and_temp,63,1.109532725,7.310987114,TRUE,0,0,0,none,-3.105116796,1,-0.281456954,waveforms_63.npy,,"[0.5929800980174267, 0.3197670634951788, 0.5929800980174267, 0.3197670634951788]",[],"[0, 0, 0, 0]",0,,0,"[1.0, 1.0, 0.3197670634951788, 0.3200384755260307]",[],"[0, 0, 0, 0]",0,,0,"[0.5929800980174267, 0.5929800980174267, 0.9622331847310976, 0.9622331847310976]",[],"[0, 0, 0, 0]",0,,0,"[0.5929800980174267, 0.6093947909288484, 0.5929800980174267, 0.5929800980174267]",[],"[0, 0, 0, 0]",0,,0,"[0.1346590665228027, 0.2452527593669107, 0.1345255075435559, 0.41462496350189904]",[],"[0, 0, 0, 0]",0,,0,"[0.2452527593669107, 0.24493657804646662, 0.2716310585408205, 0.6038538130159186]",[],"[0, 0, 0, 0]",0,,0,,,,,,,,,,,
CB340,M,30723,tetrodes,taste_room_and_temp,8,9.202313755,9.854911706,TRUE,0.034164371,0.008679381,16,none,-4.07879925,0.425,-0.324701195,waveforms_8.npy,,"[0.023171533792149823, 0.011117560716107006, 0.3246951731689154, 0.02269609255182092]",[],"[0, 0, 0, 0]",0,,0,"[0.029142640424559597, 0.02060658406771657, 0.0537109375, 0.1376126601392939]",[],"[0, 0, 0, 0]",0,,0,"[0.0038398001324249933, 0.008587112633395967, 0.0009765625, 0.28528823100021117]","[0, 0, 1, 0]",[1],1,431,1,"[0.050119308318426946, 0.03976760532307576, 0.51953125, 0.2060546875]",[],"[0, 0, 0, 0]",0,,0,"[0.0002071159245674323, 0.0009849920457288307, 0.0020499506836411173, 0.000125885009765625]","[1, 1, 1, 1]","[-1, 1, 1, 1]",-1,10,1,"[0.0013319181337852703, 0.0010847741575453385, 0.003674918209745046, 0.003464704735584152]","[1, 1, 0, 0]","[1, 1]",1,116,1,0.307533333,TRUE,0.326666667,0.307533333,TRUE,0.76,0.605076923,1,0.20015873,-0.012957357,1
CB340,M,30723,tetrodes,taste_room_and_temp,29,1.799344183,11.43899406,TRUE,0,0,0,none,-10.95974026,0.15,-0.589147287,waveforms_29.npy,,"[0.3200384755260307, 0.8547576063211065, 0.9269603529511417, 0.6424769912080877]",[],"[0, 0, 0, 0]",0,,0,"[0.5772634476440937, 0.6844698210251553, 0.716689022378584, 0.5772634476440937]",[],"[0, 0, 0, 0]",0,,0,"[1.0, 0.5929800980174267, 1.0, 0.16370597983289548]",[],"[0, 0, 0, 0]",0,,0,"[0.3200384755260307, 1.0, 0.5929800980174267, 0.3197670634951788]",[],"[0, 0, 0, 0]",0,,0,"[0.22867834461411918, 0.22867834461411918, 0.2452527593669107, 0.07234263115166539]",[],"[0, 0, 0, 0]",0,,0,"[0.41517995543164454, 0.8162339619424536, 0.41517995543164454, 0.6647595092675944]",[],"[0, 0, 0, 0]",0,,0,,,,,,,,,,,
CB340,M,30723,tetrodes,taste_room_and_temp,33,1.003010972,8.560246485,TRUE,0,0,0,none,-2.000549853,0.8,-0.194357367,waveforms_33.npy,,"[0.08155620037935116, 0.3207849595052892, 0.08203664585103046, 0.5306328183984167]",[],"[0, 0, 0, 0]",0,,0,"[0.314038932973563, 1.0, 1.0, 0.8571057357990456]",[],"[0, 0, 0, 0]",0,,0,"[0.7101974349651314, 0.9622331847310976, 0.7101974349651314, 0.9622331847310976]",[],"[0, 0, 0, 0]",0,,0,"[0.8546823502954114, 0.8547576063211065, 0.5772634476440937, 0.3197670634951788]",[],"[0, 0, 0, 0]",0,,0,"[1.0, 0.24176021709923112, 0.41512339115542807, 0.6698153575994166]",[],"[0, 0, 0, 0]",0,,0,"[0.6805357584893331, 0.6062862751759733, 0.24198134985494668, 0.9498814427314246]",[],"[0, 0, 0, 0]",0,,0,,,,,,,,,,,
CB340,M,30723,tetrodes,taste_room_and_temp,36,19.47002153,5.401513744,TRUE,0.030527738,0.034717524,64,none,-3.440769231,0.325,-0.35645933,waveforms_36.npy,,"[0.0009765625, 0.0009765625, 0.0009765625, 0.001953125]","[1, 1, 1, 1]","[1, -1, -1, -1]",1,0,1,"[0.006584557214494089, 0.009765625, 0.0048828125, 0.0009765625]","[0, 0, 0, 1]",[-1],-1,799,1,"[0.0009765625, 0.0009765625, 0.0009765625, 0.0009765625]","[1, 1, 1, 1]","[1, -1, -1, -1]",1,98,1,"[0.0009765625, 0.0009765625, 0.0009765625, 0.0009765625]","[1, 1, 1, 1]","[-1, 1, -1, -1]",-1,5,1,"[0.004507991651780311, 0.000789642333984375, 0.002838134765625, 0.0017966932295490844]","[0, 1, 0, 1]","[1, 1]",1,118,1,"[0.0006130129906398035, 0.000644683837890625, 0.0004255845215186296, 0.003977500704417531]","[1, 1, 1, 0]","[1, -1, -1]",1,23,1,0.340066667,FALSE,0.256,0.340066667,FALSE,0.507692308,0.606153846,1,0.13394683,-0.012957357,0
CB340,M,30723,tetrodes,taste_room_and_temp,48,0.751851383,8.181021374,TRUE,0,0,0,none,-3.458266129,0.875,-0.309836066,waveforms_48.npy,,"[0.5929800980174267, 0.5929800980174267, 0.7101974349651314, 0.09529809539052025]",[],"[0, 0, 0, 0]",0,,0,"[1.0, 1.0, 0.5929800980174267, 0.3200384755260307]",[],"[0, 0, 0, 0]",0,,0,"[0.5929800980174267, 0.9622331847310976, 0.9622331847310976, 0.0036504344044418777]",[],"[0, 0, 0, 0]",0,,0,"[1.0, 0.5929800980174267, 0.5929800980174267, 0.16370597983289548]",[],"[0, 0, 0, 0]",0,,0,"[0.9824304503697668, 0.6698153575994166, 0.6698153575994166, 0.6698153575994166]",[],"[0, 0, 0, 0]",0,,0,"[1.0, 1.0, 1.0, 1.0]",[],"[0, 0, 0, 0]",0,,0,,,,,,,,,,,
CB341,M,30623,tetrodes,taste_room_and_temp,6,1.384178402,46.59346532,TRUE,0,0,0,none,-12.08890469,0.675,-0.190934968,waveforms_6.npy,,"[0.0671256895206043, 0.5913195290659061, 0.19242012928419117, 0.07407058400109144]",[],"[0, 0, 0, 0]",0,,0,"[0.5869821405712912, 0.1794948183730305, 0.2628353065227077, 0.7197080216117071]",[],"[0, 0, 0, 0]",0,,0,"[0.46484375, 0.46484375, 0.7548354774537738, 0.09882660789857371]",[],"[0, 0, 0, 0]",0,,0,"[0.33654191065042094, 0.30342988987829167, 0.3449873106243255, 0.5869821405712912]",[],"[0, 0, 0, 0]",0,,0,"[0.0032094030108620413, 0.02112531399141034, 0.0015685479194949732, 0.0005770535827542302]","[0, 0, 1, 1]","[-1, -1]",-1,509,1,"[0.005667776587044209, 0.0010695619843137444, 0.00457763671875, 0.003184487902492551]","[0, 1, 0, 0]",[1],1,133,1,,,,,TRUE,0.895384615,0.620076923,,,,0
CB341,M,30623,tetrodes,taste_room_and_temp,11,26.71246335,8.694428097,TRUE,0.057787656,0.123704133,227,none,-4.42804878,0.125,-0.500535906,waveforms_11.npy,,"[0.0009765625, 0.0009765625, 0.0009765625, 0.0009765625]","[1, 1, 1, 1]","[1, 1, -1, -1]",1,131,1,"[0.0009765625, 0.0009765625, 0.0009765625, 0.0009765625]","[1, 1, 1, 1]","[1, 1, -1, -1]",1,113,1,"[0.0009765625, 0.0009765625, 0.0009765625, 0.0009765625]","[1, 1, 1, 1]","[1, 1, -1, -1]",1,99,1,"[0.0009765625, 0.0009765625, 0.0009765625, 0.0009765625]","[1, 1, 1, 1]","[1, 1, -1, 1]",1,121,1,"[3.814697265625e-06, 3.814697265625e-06, 3.814697265625e-06, 3.814697265625e-06]","[1, 1, 1, 1]","[1, 1, -1, -1]",1,125,1,"[3.814697265625e-06, 3.814697265625e-06, 3.814697265625e-06, 3.814697265625e-06]","[1, 1, 1, 1]","[1, -1, -1, -1]",1,93,1,0.330733333,FALSE,0.257333333,0.330733333,TRUE,0.935384615,0.637,1,0.02402796,-0.013374082,1
